letter_recognition.txt  26.0 100.0 0.001 100.0
Iteration 23: SSE = 7.187658517538027E-5
Iteration 24: SSE = 7.057568040546222E-5
Iteration 25: SSE = 6.95651885226156E-5
Iteration 26: SSE = 6.886881215230012E-5
Iteration 27: SSE = 6.832097637948617E-5
Iteration 28: SSE = 6.790898041813E-5
Iteration 29: SSE = 6.766303924075215E-5
Iteration 30: SSE = 6.750571469954118E-5
Iteration 31: SSE = 6.732907756119812E-5
Iteration 32: SSE = 6.702729826154913E-5
Iteration 33: SSE = 6.680963301957022E-5
Iteration 34: SSE = 6.665318614777923E-5
Iteration 35: SSE = 6.649808726162086E-5
Iteration 36: SSE = 6.633932113511981E-5
Iteration 37: SSE = 6.619805784756049E-5
Iteration 38: SSE = 6.607818623182313E-5
Iteration 39: SSE = 6.594572997869736E-5
Iteration 40: SSE = 6.579300088600347E-5
Iteration 41: SSE = 6.570871898150382E-5
Iteration 42: SSE = 6.565517247840277E-5

Run 10
-------
Iteration 1: SSE = 2.1430161693007706E-4
Iteration 2: SSE = 1.289903077815139E-4
Iteration 3: SSE = 1.246007865415184E-4
Iteration 4: SSE = 1.209021031242005E-4
Iteration 5: SSE = 1.179135329147301E-4
Iteration 6: SSE = 1.1394848592515594E-4
Iteration 7: SSE = 1.0826622382035888E-4
Iteration 8: SSE = 1.021935001320358E-4
Iteration 9: SSE = 9.804832271736262E-5
Iteration 10: SSE = 9.59771753870948E-5
Iteration 11: SSE = 9.437591320815336E-5
Iteration 12: SSE = 9.244478042805426E-5
Iteration 13: SSE = 9.07104081446224E-5
Iteration 14: SSE = 8.874717218066936E-5
Iteration 15: SSE = 8.685278500986515E-5
Iteration 16: SSE = 8.516377596420451E-5
Iteration 17: SSE = 8.343289289924252E-5
Iteration 18: SSE = 8.197738698678062E-5
Iteration 19: SSE = 8.074332220926744E-5
Iteration 20: SSE = 7.972196740203399E-5
Iteration 21: SSE = 7.835561280482531E-5
Iteration 22: SSE = 7.638103931236471E-5
Iteration 23: SSE = 7.474669915116667E-5
Iteration 24: SSE = 7.35055745600995E-5
Iteration 25: SSE = 7.234071483282665E-5
Iteration 26: SSE = 7.14012074366057E-5
Iteration 27: SSE = 7.062297053605546E-5
Iteration 28: SSE = 7.00675332150447E-5
Iteration 29: SSE = 6.963322420429504E-5
Iteration 30: SSE = 6.92054726494542E-5
Iteration 31: SSE = 6.859769703737177E-5
Iteration 32: SSE = 6.759429240598415E-5
Iteration 33: SSE = 6.735567231929275E-5
Iteration 34: SSE = 6.72317031786762E-5
Iteration 35: SSE = 6.712399621424433E-5
Iteration 36: SSE = 6.70158445689224E-5
Iteration 37: SSE = 6.692540311269565E-5
Iteration 38: SSE = 6.682150727913939E-5
Iteration 39: SSE = 6.670532696560964E-5
Iteration 40: SSE = 6.657890535664516E-5
Iteration 41: SSE = 6.64508284844211E-5
Iteration 42: SSE = 6.63154542689515E-5
Iteration 43: SSE = 6.619116370312322E-5
Iteration 44: SSE = 6.606195509281806E-5
Iteration 45: SSE = 6.596359478855531E-5
Iteration 46: SSE = 6.589459678637118E-5
Iteration 47: SSE = 6.582826857740011E-5
Iteration 48: SSE = 6.576604930123457E-5

Run 11
-------
Iteration 1: SSE = 2.24336582036533E-4
Iteration 2: SSE = 1.3199230611713185E-4
Iteration 3: SSE = 1.2547897252497398E-4
Iteration 4: SSE = 1.2099274106026199E-4
Iteration 5: SSE = 1.1738834382963392E-4
Iteration 6: SSE = 1.1181943001961376E-4
Iteration 7: SSE = 1.0510998270679541E-4
Iteration 8: SSE = 1.0178911704966564E-4
Iteration 9: SSE = 9.934808975779161E-5
Iteration 10: SSE = 9.639983766799456E-5
Iteration 11: SSE = 9.341419985942013E-5
Iteration 12: SSE = 9.101485352042581E-5
Iteration 13: SSE = 8.938091628261622E-5
Iteration 14: SSE = 8.791301370772405E-5
Iteration 15: SSE = 8.542256442036957E-5
Iteration 16: SSE = 8.305281996485731E-5
